Fr,n,Lifetime
200,100,39315530.45
200,200,19657765.22
200,300,13105176.82
200,400,9828882.611
200,500,7863106.089
200,600,6552588.408
200,700,5616504.349
200,800,4914441.306
200,900,4368392.272
200,1000,3931553.045
200,1100,3574139.131
200,1200,3276294.204
200,1300,3024271.573
200,1400,2808252.175
200,1500,2621035.363
200,1600,2457220.653
200,1700,2312678.261
200,1800,2184196.136
200,1900,2069238.444
200,2000,1965776.522
200,2100,1872168.116
200,2200,1787069.566
200,2300,1709370.889
200,2400,1638147.102
200,2500,1572621.218
200,2600,1512135.786
200,2700,1456130.757
200,2800,1404126.087
200,2900,1355707.946
200,3000,1310517.682
200,3100,1268242.918
200,3200,1228610.326
200,3300,1191379.71
200,3400,1156339.131
200,3500,1123300.87
300,100,10176379.07
300,200,5088189.535
300,300,3392126.356
300,400,2544094.767
300,500,2035275.814
300,600,1696063.178
300,700,1453768.438
300,800,1272047.384
300,900,1130708.785
300,1000,1017637.907
300,1100,925125.3699
300,1200,848031.5891
300,1300,782798.3899
300,1400,726884.2192
300,1500,678425.2713
300,1600,636023.6918
300,1700,598610.5335
300,1800,565354.3927
300,1900,535598.8984
300,2000,508818.9535
300,2100,484589.4795
300,2200,462562.685
300,2300,442451.2639
300,2400,424015.7945
300,2500,407055.1628
300,2600,391399.195
300,2700,376902.9285
300,2800,363442.1096
300,2900,350909.6231
300,3000,339212.6356
300,3100,328270.2925
300,3200,318011.8459
300,3300,308375.1233
300,3400,299305.2667
300,3500,290753.6877
400,100,3900594.649
400,200,1950297.325
400,300,1300198.216
400,400,975148.6623
400,500,780118.9298
400,600,650099.1082
400,700,557227.807
400,800,487574.3312
400,900,433399.4055
400,1000,390059.4649
400,1100,354599.5136
400,1200,325049.5541
400,1300,300045.7422
400,1400,278613.9035
400,1500,260039.6433
400,1600,243787.1656
400,1700,229446.7441
400,1800,216699.7027
400,1900,205294.4552
400,2000,195029.7325
400,2100,185742.6023
400,2200,177299.7568
400,2300,169591.0717
400,2400,162524.7771
400,2500,156023.786
400,2600,150022.8711
400,2700,144466.4685
400,2800,139306.9518
400,2900,134503.2638
400,3000,130019.8216
400,3100,125825.6338
400,3200,121893.5828
400,3300,118199.8379
400,3400,114723.372
400,3500,111445.5614
500,100,1853947.553
500,200,926973.7763
500,300,617982.5175
500,400,463486.8882
500,500,370789.5105
500,600,308991.2588
500,700,264849.6504
500,800,231743.4441
500,900,205994.1725
500,1000,185394.7553
500,1100,168540.6866
500,1200,154495.6294
500,1300,142611.3502
500,1400,132424.8252
500,1500,123596.5035
500,1600,115871.722
500,1700,109055.7384
500,1800,102997.0863
500,1900,97576.18698
500,2000,92697.37763
